,Year,Race Name,Driver ID,Constructor Name,Grid Position,Final Position,Fastest Lap Time,Points,Status,Number of Laps,Lap,Duration,Weather,Temperature (°C),Humidity (%),Wind Speed (m/s),Rain (mm),Pit Stops
8345,2022,Mi,ts,Al,9.0,12.0,93.035,0.0,Finished,57.0,41.0,19.618,No rain,22.99,64,8.23,0.0,2
8346,2019,Me,le,Fe,1.0,4.0,79.232,13.0,Finished,71.0,15.0,22.002,No rain,23.88,23,4.12,0.0,2
8347,2024,Ba,hu,,,,,,DNF,,1.0,36.604,No rain,21.05,72,5.45,0.0,2
8348,2020,Ei,ri,Re,6.0,3.0,89.584,15.0,Finished,60.0,16.0,22.159,No rain,-2.31,93,3.09,0.0,2
8349,2024,Mi,al,As,15.0,9.0,91.727,2.0,Finished,57.0,22.0,22.374,No rain,22.99,64,8.23,0.0,1
8350,2022,Be,pe,,,,,,DNF,,27.0,22.650,Rain,-1.91,100,2.57,0.0,2
8351,2021,Me,oc,Al,19.0,13.0,81.348,0.0,+1 Lap,70.0,14.0,23.100,No rain,23.88,23,4.12,0.0,1
8352,2024,La,ru,Me,1.0,1.0,95.717,25.0,Finished,50.0,12.0,21.072,No rain,14.64,31,1.54,0.0,1
8353,2024,Au,hu,,,,,,DNF,,17.0,18.320,No rain,17.76,67,0.89,0.0,2
8354,2022,Au,ve,As,17.0,19.0,85.189,0.0,DNF,22.0,,,No rain,17.76,67,0.89,0.0,0
8355,2019,Sp,bo,Me,1.0,2.0,78.737,18.0,Finished,66.0,45.0,22.018,No rain,9.61,85,3.09,0.0,2
8356,2023,Br,al,Wi,8.0,8.0,91.273,4.0,Finished,52.0,32.0,29.634,No rain,4.18,97,2.28,0.0,1
8357,2019,Hu,ku,Wi,19.0,19.0,83.436,0.0,DNF,67.0,18.0,21.754,No rain,1.26,70,3.09,0.0,1
8358,2022,Sp,ha,Me,6.0,5.0,84.253,10.0,Finished,66.0,1.0,31.054,No rain,9.61,85,3.09,0.0,2
8359,2019,Br,pe,,,,,,DNF,,46.0,28.747,No rain,4.18,97,2.28,0.0,3
8360,2023,Ab,ri,Al,15.0,11.0,88.571,0.0,Finished,58.0,7.0,21.692,No rain,21.1,68,2.06,0.0,2
8361,2019,Un,hu,,,,,,DNF,,27.0,24.245,Rain,17.84,85,3.09,0.0,2
8362,2022,Em,oc,Al,16.0,14.0,81.887,0.0,+1 Lap,62.0,18.0,31.409,Rain,4.34,96,2.91,1.33,1
8363,2021,Az,st,As,19.0,19.0,106.207,0.0,DNF,29.0,,,Rain,4.97,75,12.35,0.0,0
8364,2022,Ab,pe,,,,,,DNF,,33.0,21.367,No rain,21.1,68,2.06,0.0,2
8365,2021,Em,gi,Al,17.0,14.0,79.47,0.0,+1 Lap,62.0,27.0,32.299,Rain,4.34,96,2.91,1.33,1
8366,2019,Ch,ve,Fe,3.0,3.0,94.836,15.0,Finished,56.0,35.0,22.316,No rain,2.99,75,4.0,0.0,2
8367,2019,Ge,ma,,,,,,DNF,,3.0,22.358,No rain,0.22,86,0.0,0.0,2
8368,2019,Br,ha,Me,2.0,1.0,87.369,26.0,Finished,52.0,20.0,28.905,No rain,4.18,97,2.28,0.0,1
8369,2024,Au,zh,Sa,19.0,15.0,81.327,0.0,+1 Lap,57.0,6.0,19.032,No rain,17.76,67,0.89,0.0,2
8370,2022,Fr,sa,Fe,19.0,5.0,95.781,11.0,Finished,53.0,18.0,41.458,No rain,8.64,77,3.73,0.1,2
8371,2020,Sp,no,Mc,8.0,10.0,82.392,1.0,+1 Lap,65.0,44.0,21.761,No rain,9.61,85,3.09,0.0,2
8372,2023,Un,ga,Al,7.0,6.0,100.412,8.0,Finished,56.0,18.0,23.900,Rain,17.84,85,3.09,0.0,2
8373,2021,St,pe,,,,,,DNF,,54.0,20.961,No rain,-2.06,86,1.54,0.0,2
8374,2024,Ba,no,Mc,7.0,6.0,94.476,8.0,Finished,57.0,13.0,24.205,No rain,21.05,72,5.45,0.0,2
8375,2022,Au,st,As,19.0,12.0,83.592,0.0,Finished,58.0,4.0,18.560,No rain,17.76,67,0.89,0.0,3
8376,2022,Ba,ts,Al,16.0,8.0,97.104,4.0,Finished,57.0,29.0,24.350,No rain,21.05,72,5.45,0.0,2
8377,2021,Br,bo,Me,3.0,3.0,90.524,15.0,Finished,52.0,2.0,34:09.149,No rain,4.18,97,2.28,0.0,2
8378,2019,Az,st,Ra,13.0,9.0,106.009,2.0,Finished,51.0,10.0,23.099,Rain,4.97,75,12.35,0.0,1
8379,2022,Si,st,As,11.0,6.0,110.283,8.0,Finished,59.0,35.0,29.863,No rain,26.92,87,1.03,0.0,1
8380,2024,Ba,al,As,6.0,9.0,94.199,2.0,Finished,57.0,15.0,24.786,No rain,21.05,72,5.45,0.0,1
8381,2023,Sp,hu,,,,,,DNF,,26.0,23.257,No rain,9.61,85,3.09,0.0,2
8382,2023,Sp,oc,Al,6.0,8.0,78.946,4.0,Finished,66.0,13.0,22.112,No rain,9.61,85,3.09,0.0,2
8383,2023,Br,sa,Wi,14.0,11.0,91.699,0.0,Finished,52.0,29.0,28.847,No rain,4.18,97,2.28,0.0,1
8384,2019,It,ha,Me,2.0,3.0,81.779,16.0,Finished,53.0,19.0,23.912,Rain,5.0,87,0.45,1.0,2
8385,2023,Si,ru,Me,2.0,16.0,96.273,0.0,DNF,61.0,44.0,30.039,No rain,26.92,87,1.03,0.0,2
8386,2019,Ch,ma,,,,,,DNF,,34.0,22.365,No rain,2.99,75,4.0,0.0,2
8387,2024,Qa,ke,,,,,,DNF,,,,No rain,20.97,72,3.43,0.0,0
8388,2022,Mi,sa,Fe,2.0,3.0,91.78999999999999,15.0,Finished,57.0,27.0,22.063,No rain,22.99,64,8.23,0.0,1
8389,2020,Sp,le,Fe,9.0,20.0,83.968,0.0,DNF,38.0,29.0,22.274,No rain,9.61,85,3.09,0.0,1
8390,2019,Me,pe,,,,,,DNF,,20.0,22.357,No rain,23.88,23,4.12,0.0,1
8391,2022,Ja,ve,As,9.0,6.0,106.964,8.0,Finished,28.0,5.0,24.218,No rain,7.84,72,6.85,0.0,2
8392,2021,Du,gi,Al,7.0,14.0,75.125,0.0,+2 Laps,70.0,27.0,19.049,No rain,1.59,88,3.6,0.0,2
8393,2022,Mo,zh,Al,20.0,16.0,78.2,0.0,+1 Lap,63.0,19.0,25.594,No rain,11.92,73,3.6,0.0,1
8394,2019,Ca,st,Ra,17.0,9.0,76.043,2.0,+1 Lap,69.0,45.0,23.727,No rain,-4.97,57,6.69,0.0,1
8395,2020,Em,ri,Re,5.0,3.0,77.55199999999999,15.0,Finished,63.0,14.0,30.204,Rain,4.34,96,2.91,1.33,1
8396,2022,Ba,ri,Mc,18.0,14.0,97.261,0.0,Finished,57.0,17.0,24.915,No rain,21.05,72,5.45,0.0,1
8397,2019,Mo,ha,Me,1.0,1.0,76.167,25.0,Finished,78.0,11.0,24.266,No rain,11.92,73,3.6,0.0,1
8398,2021,Me,st,As,20.0,14.0,80.93,0.0,+2 Laps,69.0,12.0,23.586,No rain,23.88,23,4.12,0.0,2
8399,2020,70,ru,Wi,15.0,18.0,91.408,0.0,+1 Lap,51.0,8.0,28.391,No rain,4.18,97,2.28,0.0,2
8400,2022,Mi,al,Wi,18.0,9.0,93.447,2.0,Finished,57.0,16.0,20.059,No rain,22.99,64,8.23,0.0,1
8401,2022,It,oc,Al,14.0,11.0,86.593,0.0,Finished,53.0,19.0,24.336,Rain,5.0,87,0.45,1.0,1
8402,2023,Hu,bo,Al,7.0,12.0,83.651,0.0,+1 Lap,69.0,40.0,23.242,No rain,1.26,70,3.09,0.0,2
8403,2022,Ab,al,Al,10.0,20.0,90.57900000000001,0.0,DNF,27.0,19.0,21.740,No rain,21.1,68,2.06,0.0,1
8404,2022,Si,zh,Al,14.0,20.0,125.556,0.0,DNF,6.0,,,No rain,26.92,87,1.03,0.0,0
8405,2022,Ba,bo,Al,6.0,6.0,96.59899999999999,8.0,Finished,57.0,14.0,25.893,No rain,21.05,72,5.45,0.0,1
8406,2021,St,le,Fe,7.0,7.0,68.738,6.0,+1 Lap,70.0,1.0,28.386,No rain,-2.06,86,1.54,0.0,2
8407,2021,Em,ma,,,,,,DNF,,33.0,27:01.361,Rain,4.34,96,2.91,1.33,2
8408,2023,Be,hu,,,,,,DNF,,12.0,24.571,Rain,-1.91,100,2.57,0.0,2
8409,2022,Be,le,Fe,15.0,6.0,109.98400000000001,8.0,Finished,44.0,3.0,24.198,Rain,-1.91,100,2.57,0.0,2
8410,2023,Ab,st,As,13.0,10.0,88.05,1.0,Finished,58.0,22.0,21.866,No rain,21.1,68,2.06,0.0,1
8411,2024,Mo,zh,Sa,18.0,16.0,,0.0,+2 Laps,76.0,2.0,24.367,No rain,11.92,73,3.6,0.0,2
8412,2022,Sa,bo,Al,8.0,15.0,93.979,0.0,DNF,36.0,16.0,22.561,No rain,26.03,53,2.06,0.0,2
8413,2023,Me,hu,,,,,,DNF,,23.0,23.144,No rain,23.88,23,4.12,0.0,2
8414,2022,Az,le,Fe,1.0,19.0,107.531,0.0,DNF,21.0,9.0,23.212,Rain,4.97,75,12.35,0.0,1
8415,2019,Si,hu,,,,,,DNF,,36.0,29.152,No rain,26.92,87,1.03,0.0,2
8416,2024,Ja,al,As,5.0,6.0,94.726,8.0,Finished,53.0,13.0,22.998,No rain,7.84,72,6.85,0.0,2
8417,2019,Sp,ri,Re,13.0,12.0,80.615,0.0,Finished,66.0,45.0,22.702,No rain,9.61,85,3.09,0.0,2
8418,2020,It,le,Fe,13.0,18.0,86.026,0.0,DNF,23.0,17.0,24.344,Rain,5.0,87,0.45,1.0,1
8419,2021,Em,ha,Me,1.0,2.0,76.702,19.0,Finished,63.0,28.0,32.112,Rain,4.34,96,2.91,1.33,2
8420,2019,Be,ru,Wi,14.0,15.0,108.86,0.0,+1 Lap,43.0,30.0,22.442,Rain,-1.91,100,2.57,0.0,1
8421,2023,Be,ts,Al,11.0,10.0,111.394,1.0,Finished,44.0,24.0,22.737,Rain,-1.91,100,2.57,0.0,2
8422,2021,Sa,le,Fe,4.0,7.0,91.601,6.0,Finished,50.0,10.0,20.531,No rain,26.03,53,2.06,0.0,2
8423,2019,Si,no,Mc,9.0,7.0,105.71600000000001,6.0,Finished,61.0,20.0,30.397,No rain,26.92,87,1.03,0.0,1
8424,2024,Ba,hu,,,,,,DNF,,20.0,24.768,No rain,21.05,72,5.45,0.0,2
8425,2024,Me,ha,Me,6.0,4.0,80.371,12.0,Finished,71.0,28.0,22.538,No rain,23.88,23,4.12,0.0,1
8426,2022,Ab,zh,Al,15.0,12.0,89.6,0.0,+1 Lap,57.0,15.0,22.435,No rain,21.1,68,2.06,0.0,1
8427,2023,It,oc,Al,18.0,19.0,86.963,0.0,DNF,39.0,24.0,24.249,Rain,5.0,87,0.45,1.0,1
8428,2021,Au,sa,Fe,10.0,5.0,67.762,10.0,Finished,71.0,48.0,21.431,No rain,-2.06,86,1.54,0.0,1
8429,2020,Ei,sa,Mc,10.0,5.0,90.129,10.0,Finished,60.0,44.0,22.503,No rain,-2.31,93,3.09,0.0,2
8430,2019,Ba,gr,Ha,11.0,20.0,97.262,0.0,DNF,16.0,1.0,32.082,No rain,21.05,72,5.45,0.0,1
8431,2019,Ch,kv,To,11.0,19.0,97.975,0.0,DNF,41.0,30.0,43.206,No rain,2.99,75,4.0,0.0,3
8432,2019,Si,ku,Wi,19.0,16.0,106.793,0.0,Finished,61.0,44.0,30.321,No rain,26.92,87,1.03,0.0,2
8433,2020,It,gi,Al,18.0,16.0,84.856,0.0,Finished,53.0,26.0,25:21.825,Rain,5.0,87,0.45,1.0,2
8434,2019,Ge,le,Fe,10.0,17.0,87.697,0.0,DNF,27.0,3.0,20.361,No rain,0.22,86,0.0,0.0,2
8435,2021,Po,bo,Me,1.0,3.0,79.865,16.0,Finished,66.0,2.0,21.377,No rain,10.33,88,1.9,0.0,2
8436,2019,Br,gi,Al,11.0,18.0,92.464,0.0,DNF,18.0,,,No rain,4.18,97,2.28,0.0,0
8437,2021,Sa,ma,,,,,,DNF,,15.0,18:07.591,No rain,26.03,53,2.06,0.0,2
8438,2024,La,pi,Mc,8.0,7.0,96.598,6.0,Finished,50.0,10.0,27.732,No rain,14.64,31,1.54,0.0,2
8439,2023,Mo,ga,Al,7.0,7.0,75.831,6.0,Finished,78.0,47.0,23.902,No rain,11.92,73,3.6,0.0,2
8440,2019,Fr,ri,Re,8.0,11.0,95.15,0.0,+1 Lap,52.0,16.0,31.031,No rain,8.64,77,3.73,0.1,1
8441,2023,Qa,ma,,,,,,DNF,,17.0,28.233,No rain,20.97,72,3.43,0.0,1
8442,2022,Ca,ts,Al,20.0,18.0,78.309,0.0,DNF,47.0,47.0,23.450,No rain,-4.97,57,6.69,0.0,2
8443,2020,Br,bo,Me,2.0,11.0,89.265,0.0,Finished,52.0,50.0,33.602,No rain,4.18,97,2.28,0.0,2
8444,2019,Br,sa,Mc,20.0,3.0,73.158,15.0,Finished,71.0,29.0,22.770,No rain,21.25,86,4.63,0.0,1
8445,2022,Un,ve,As,10.0,8.0,102.54599999999999,4.0,Finished,56.0,18.0,24.307,Rain,17.84,85,3.09,0.0,1
8446,2022,Ja,le,Fe,2.0,3.0,104.489,15.0,Finished,28.0,7.0,25.899,No rain,7.84,72,6.85,0.0,2
8447,2024,La,ma,,,,,,DNF,,27.0,22.254,No rain,14.64,31,1.54,0.0,2
8448,2023,Hu,ma,,,,,,DNF,,23.0,21.407,No rain,1.26,70,3.09,0.0,1
8449,2020,Ab,ma,,,,,,DNF,,10.0,21.289,No rain,21.1,68,2.06,0.0,1
8450,2024,Ca,pi,Mc,4.0,5.0,76.247,10.0,Finished,70.0,44.0,23.476,No rain,-4.97,57,6.69,0.0,2
8451,2021,Au,pe,,,,,,DNF,,32.0,21.735,No rain,-2.06,86,1.54,0.0,1
8452,2019,Ab,gr,Ha,15.0,15.0,103.666,0.0,+1 Lap,54.0,18.0,21.968,No rain,21.1,68,2.06,0.0,1
8453,2020,Ru,bo,Me,3.0,1.0,97.03,26.0,Finished,53.0,26.0,29.750,No rain,-0.89,51,7.0,0.0,1
8454,2023,La,ma,,,,,,DNF,,16.0,26.686,No rain,14.64,31,1.54,0.0,2
8455,2024,Ch,oc,Al,13.0,11.0,100.937,0.0,Finished,56.0,9.0,23.156,No rain,2.99,75,4.0,0.0,2
8456,2021,It,bo,Me,19.0,3.0,84.827,15.0,Finished,53.0,26.0,24.308,Rain,5.0,87,0.45,1.0,1
8457,2019,Ch,le,Fe,4.0,5.0,94.86,10.0,Finished,56.0,22.0,22.921,No rain,2.99,75,4.0,0.0,1
8458,2022,Mo,st,As,18.0,14.0,77.672,0.0,Finished,64.0,1.0,26.731,No rain,11.92,73,3.6,0.0,2
8459,2021,Br,la,Wi,17.0,14.0,92.477,0.0,+1 Lap,51.0,19.0,27.543,No rain,4.18,97,2.28,0.0,2
8460,2020,Be,le,Fe,13.0,14.0,107.84,0.0,Finished,44.0,24.0,25.100,Rain,-1.91,100,2.57,0.0,2
8461,2023,Du,ma,,,,,,DNF,,11.0,19.289,No rain,1.59,88,3.6,0.0,2
8462,2021,Qa,mi,,,,,,DNF,,22.0,25.881,No rain,20.97,72,3.43,0.0,1
8463,2022,Sã,ma,,,,,,DNF,,7.0,30.942,No rain,21.25,86,4.63,0.0,2
8464,2019,Ru,ke,,,,,,DNF,,27.0,30.509,No rain,-0.89,51,7.0,0.0,1
8465,2020,Tu,st,Ra,6.0,13.0,82.068,0.0,DNF,42.0,8.0,23:59.578,No rain,5.13,81,2.59,0.0,2
8466,2022,Du,st,As,10.0,10.0,75.043,1.0,Finished,72.0,16.0,20.205,No rain,1.59,88,3.6,0.0,2
8467,2023,Be,ga,Al,12.0,11.0,110.911,0.0,Finished,44.0,23.0,25.664,Rain,-1.91,100,2.57,0.0,1
8468,2022,Hu,al,Al,6.0,8.0,83.979,4.0,+1 Lap,69.0,21.0,22.083,No rain,1.26,70,3.09,0.0,1
8469,2024,Qa,no,Mc,3.0,10.0,82.384,2.0,Finished,57.0,,,No rain,20.97,72,3.43,0.0,0
8470,2022,Be,le,Fe,15.0,6.0,109.98400000000001,8.0,Finished,44.0,3.0,24.198,Rain,-1.91,100,2.57,0.0,2
8471,2019,Hu,bo,Me,2.0,8.0,79.331,4.0,+1 Lap,69.0,46.0,21.744,No rain,1.26,70,3.09,0.0,2
8472,2020,70,ve,Fe,11.0,12.0,90.785,0.0,Finished,52.0,22.0,28.167,No rain,4.18,97,2.28,0.0,1
8473,2024,Qa,zh,Sa,12.0,8.0,83.889,4.0,Finished,57.0,,,No rain,20.97,72,3.43,0.0,0
8474,2022,Em,zh,Al,0.0,15.0,81.286,0.0,+1 Lap,62.0,18.0,32.203,Rain,4.34,96,2.91,1.33,1
8475,2021,Ab,ri,Mc,10.0,12.0,88.723,0.0,+1 Lap,57.0,52.0,22.056,No rain,21.1,68,2.06,0.0,2
8476,2021,Hu,ra,,,,,,DNF,,2.0,24:17.844,No rain,1.26,70,3.09,0.0,2
8477,2021,Du,ts,Al,14.0,19.0,75.783,0.0,DNF,48.0,31.0,19.850,No rain,1.59,88,3.6,0.0,1
8478,2023,Ab,pe,,,,,,DNF,,17.0,21.446,No rain,21.1,68,2.06,0.0,1
8479,2023,Mo,no,Mc,10.0,9.0,77.844,2.0,+1 Lap,77.0,50.0,24.663,No rain,11.92,73,3.6,0.0,2
8480,2020,Tu,ke,,,,,,DNF,,,,No rain,5.13,81,2.59,0.0,0
8481,2019,Ba,ke,,,,,,DNF,,10.0,24.948,No rain,21.05,72,5.45,0.0,1
8482,2020,Hu,ma,,,,,,DNF,,4.0,21.529,No rain,1.26,70,3.09,0.0,1
8483,2019,Be,ga,To,13.0,9.0,109.7,2.0,Finished,44.0,13.0,22.772,Rain,-1.91,100,2.57,0.0,1
8484,2021,Ru,ma,,,,,,DNF,,26.0,29.578,No rain,-0.89,51,7.0,0.0,2
8485,2023,Ca,ke,,,,,,DNF,,35.0,24.909,No rain,-4.97,57,6.69,0.0,1
8486,2021,Em,oc,Al,9.0,9.0,79.422,2.0,Finished,63.0,31.0,30.701,Rain,4.34,96,2.91,1.33,3
8487,2022,Ja,mi,,,,,,DNF,,2.0,6:40.857,No rain,7.84,72,6.85,0.0,1
8488,2024,Au,bo,Sa,13.0,14.0,81.422,0.0,+1 Lap,57.0,36.0,18.938,No rain,17.76,67,0.89,0.0,2
8489,2023,Ja,la,Al,11.0,11.0,98.267,0.0,+1 Lap,52.0,10.0,23.136,No rain,7.84,72,6.85,0.0,2
8490,2020,Ab,bo,Me,2.0,2.0,101.131,18.0,Finished,55.0,10.0,21.587,No rain,21.1,68,2.06,0.0,1
8491,2019,Ru,le,Fe,1.0,3.0,96.193,15.0,Finished,53.0,30.0,29.401,No rain,-0.89,51,7.0,0.0,2
8492,2020,Tu,le,Fe,5.0,8.0,81.229,4.0,Finished,59.0,21.0,23.469,No rain,5.13,81,2.59,0.0,3
8493,2021,Tu,la,Wi,15.0,17.0,93.672,0.0,+1 Lap,57.0,34.0,24.104,No rain,5.73,65,4.63,0.0,1
8494,2022,Mi,pe,,,,,,DNF,,41.0,18.433,No rain,22.99,64,8.23,0.0,2
8495,2021,Sp,gi,Al,14.0,15.0,82.80199999999999,0.0,+1 Lap,65.0,8.0,54.673,No rain,9.61,85,3.09,0.0,2
8496,2021,Ab,pe,,,,,,DNF,,36.0,21.413,No rain,21.1,68,2.06,0.0,3
8497,2024,Mo,pi,Mc,2.0,2.0,,18.0,Finished,78.0,1.0,39:17.645,No rain,11.92,73,3.6,0.0,1
8498,2022,Be,oc,Al,16.0,7.0,111.717,6.0,Finished,44.0,12.0,23.511,Rain,-1.91,100,2.57,0.0,1
8499,2020,It,sa,Mc,3.0,2.0,83.882,18.0,Finished,53.0,22.0,24.398,Rain,5.0,87,0.45,1.0,2
8500,2023,Qa,bo,Al,9.0,8.0,86.652,4.0,Finished,57.0,3.0,29.977,No rain,20.97,72,3.43,0.0,2
8501,2024,La,oc,Al,11.0,17.0,96.511,0.0,+1 Lap,49.0,11.0,15.790,No rain,14.64,31,1.54,0.0,2
8502,2024,Me,la,RB,12.0,16.0,79.502,0.0,+1 Lap,70.0,39.0,22.586,No rain,23.88,23,4.12,0.0,2
8503,2023,Sã,ga,Al,15.0,7.0,74.521,6.0,Finished,71.0,2.0,23:36.706,No rain,21.25,86,4.63,0.0,2
8504,2021,Br,al,Al,7.0,7.0,91.69800000000001,6.0,Finished,52.0,2.0,34:18.580,No rain,4.18,97,2.28,0.0,1
8505,2023,Du,le,Fe,9.0,19.0,77.277,0.0,DNF,41.0,1.0,32.686,No rain,1.59,88,3.6,0.0,2
8506,2023,Mo,al,As,2.0,2.0,76.674,18.0,Finished,78.0,55.0,25.916,No rain,11.92,73,3.6,0.0,2
8507,2024,Br,ke,,,,,,DNF,,37.0,29.884,No rain,4.18,97,2.28,0.0,2
8508,2020,Tu,no,Mc,11.0,6.0,81.19800000000001,8.0,Finished,59.0,7.0,17.845,No rain,5.13,81,2.59,0.0,2
8509,2021,Me,la,Wi,13.0,17.0,81.54599999999999,0.0,+2 Laps,69.0,49.0,22.739,No rain,23.88,23,4.12,0.0,2
8510,2022,Em,bo,Al,7.0,5.0,80.758,10.0,Finished,63.0,18.0,40.957,Rain,4.34,96,2.91,1.33,1
8511,2022,Az,ga,Al,6.0,5.0,108.519,10.0,Finished,51.0,9.0,22.698,Rain,4.97,75,12.35,0.0,1
8512,2019,Ab,le,Fe,3.0,3.0,100.44200000000001,15.0,Finished,55.0,12.0,21.697,No rain,21.1,68,2.06,0.0,2
8513,2020,Em,ga,Al,4.0,20.0,80.40299999999999,0.0,DNF,8.0,,,Rain,4.34,96,2.91,1.33,0
8514,2020,Ba,ha,Me,1.0,1.0,92.864,25.0,Finished,57.0,1.0,19:23.979,No rain,21.05,72,5.45,0.0,2
8515,2019,Si,kv,To,14.0,15.0,104.37100000000001,0.0,Finished,61.0,36.0,34.711,No rain,26.92,87,1.03,0.0,2
8516,2020,It,le,Fe,13.0,18.0,86.026,0.0,DNF,23.0,17.0,24.344,Rain,5.0,87,0.45,1.0,1
8517,2021,Me,ra,,,,,,DNF,,32.0,22.424,No rain,23.88,23,4.12,0.0,1
8518,2023,Ba,oc,Al,9.0,18.0,96.797,0.0,DNF,41.0,12.0,24.966,No rain,21.05,72,5.45,0.0,2
8519,2022,Br,mi,,,,,,DNF,,1.0,51:05.174,No rain,4.18,97,2.28,0.0,2
8520,2019,Ch,ha,Me,2.0,1.0,95.892,25.0,Finished,56.0,22.0,22.644,No rain,2.99,75,4.0,0.0,2
8521,2022,Du,ke,,,,,,DNF,,14.0,20.785,No rain,1.59,88,3.6,0.0,2
8522,2021,Sã,ma,,,,,,DNF,,8.0,17.807,No rain,21.25,86,4.63,0.0,2
8523,2021,St,ve,As,14.0,12.0,69.821,0.0,+1 Lap,70.0,27.0,21.546,No rain,-2.06,86,1.54,0.0,1
8524,2024,Au,st,As,9.0,6.0,80.93,8.0,Finished,58.0,8.0,17.901,No rain,17.76,67,0.89,0.0,2
8525,2020,Tu,sa,Mc,9.0,18.0,134.103,0.0,DNF,5.0,,,No rain,5.13,81,2.59,0.0,0
8526,2019,Ja,pe,,,,,,DNF,,19.0,22.880,No rain,7.84,72,6.85,0.0,2
8527,2020,Sa,no,Mc,19.0,10.0,,1.0,Finished,87.0,54.0,24.245,No rain,21.05,72,5.45,0.0,2
8528,2020,Po,pe,,,,,,DNF,,45.0,26.635,No rain,10.33,88,1.9,0.0,2
8529,2022,Mi,ri,Mc,14.0,13.0,93.265,0.0,Finished,57.0,30.0,19.484,No rain,22.99,64,8.23,0.0,2
8530,2021,Tu,le,Fe,3.0,4.0,92.737,12.0,Finished,58.0,47.0,23.646,No rain,5.73,65,4.63,0.0,1
8531,2019,Br,pe,,,,,,DNF,,18.0,30.264,No rain,4.18,97,2.28,0.0,3
8532,2019,Ca,ri,Re,4.0,6.0,76.075,8.0,+1 Lap,69.0,8.0,23.927,No rain,-4.97,57,6.69,0.0,1
8533,2020,Ba,ri,Re,6.0,7.0,92.827,6.0,Finished,57.0,1.0,19:19.722,No rain,21.05,72,5.45,0.0,2
8534,2019,Ja,le,Fe,2.0,6.0,91.611,8.0,+1 Lap,51.0,46.0,23.280,No rain,7.84,72,6.85,0.0,3
8535,2021,Mo,st,As,13.0,8.0,74.674,4.0,+1 Lap,77.0,58.0,23.474,No rain,11.92,73,3.6,0.0,1
8536,2021,Hu,ru,Wi,17.0,8.0,82.112,4.0,Finished,70.0,2.0,24:17.487,No rain,1.26,70,3.09,0.0,2
8537,2023,Be,no,Mc,7.0,7.0,111.682,6.0,Finished,44.0,17.0,23.744,Rain,-1.91,100,2.57,0.0,2
8538,2021,Du,ha,Me,2.0,2.0,71.097,19.0,Finished,72.0,39.0,18.868,No rain,1.59,88,3.6,0.0,3
8539,2019,Ch,ke,,,,,,DNF,,33.0,23.383,No rain,2.99,75,4.0,0.0,2
8540,2023,Sã,ri,Al,17.0,13.0,73.866,0.0,+1 Lap,70.0,1.0,26:16.725,No rain,21.25,86,4.63,0.0,1
8541,2023,Si,le,Fe,3.0,4.0,98.275,12.0,Finished,62.0,20.0,32.888,No rain,26.92,87,1.03,0.0,1
8542,2021,Sã,la,Wi,16.0,16.0,74.616,0.0,+1 Lap,70.0,7.0,18.153,No rain,21.25,86,4.63,0.0,1
8543,2019,Sp,ra,,,,,,DNF,,28.0,22.342,No rain,9.61,85,3.09,0.0,1
8544,2020,Em,ra,,,,,,DNF,,48.0,29.863,Rain,4.34,96,2.91,1.33,1
8545,2024,Br,ke,,,,,,DNF,,27.0,30.308,No rain,4.18,97,2.28,0.0,2
8546,2022,Em,ri,Mc,6.0,18.0,81.577,0.0,+1 Lap,62.0,16.0,30.422,Rain,4.34,96,2.91,1.33,3
8547,2024,It,pi,Mc,2.0,2.0,81.943,18.0,Finished,53.0,38.0,24.670,Rain,5.0,87,0.45,1.0,2
8548,2024,Em,al,Wi,14.0,20.0,81.274,0.0,DNF,51.0,8.0,30.050,Rain,4.34,96,2.91,1.33,4
8549,2021,Sp,ha,Me,1.0,1.0,80.66499999999999,25.0,Finished,66.0,42.0,22.078,No rain,9.61,85,3.09,0.0,2
8550,2024,Br,le,Fe,11.0,14.0,89.748,0.0,+1 Lap,51.0,19.0,28.481,No rain,4.18,97,2.28,0.0,2
8551,2019,Me,ru,Wi,19.0,16.0,81.286,0.0,+2 Laps,69.0,22.0,22.887,No rain,23.88,23,4.12,0.0,1
8552,2022,Sã,pe,,,,,,DNF,,23.0,22.869,No rain,21.25,86,4.63,0.0,1
8553,2021,Me,ha,Me,2.0,2.0,79.82,18.0,Finished,71.0,29.0,22.373,No rain,23.88,23,4.12,0.0,1
8554,2021,It,al,Al,10.0,8.0,85.47200000000001,4.0,Finished,53.0,25.0,24.797,Rain,5.0,87,0.45,1.0,1
8555,2022,Sp,mi,,,,,,DNF,,30.0,23.127,No rain,9.61,85,3.09,0.0,2
8556,2022,It,zh,Al,9.0,10.0,86.361,1.0,Finished,53.0,18.0,25.366,Rain,5.0,87,0.45,1.0,1
8557,2020,Be,la,Wi,19.0,16.0,108.048,0.0,Finished,44.0,10.0,23.532,Rain,-1.91,100,2.57,0.0,2
8558,2024,Au,sa,Wi,19.0,19.0,70.406,0.0,+2 Laps,69.0,20.0,22.502,No rain,-2.06,86,1.54,0.0,2
8559,2023,Au,ts,Al,12.0,10.0,81.789,1.0,Finished,58.0,8.0,15:31.820,No rain,17.76,67,0.89,0.0,1
8560,2021,Em,bo,Me,8.0,18.0,88.485,0.0,DNF,30.0,28.0,30.167,Rain,4.34,96,2.91,1.33,1
